,external_gene_name,count,ate,ate_mean,95_C.I._min,95_C.I._max
ENSG00000172936.11,MYD88,180.0,7.389680840385542,6.836321520709428,2.338587944063936,11.391424968218121
ENSG00000111863.11,ADTRP,180.0,7.128114788031544,6.347302654126529,3.41805850091933,9.283987803896053
ENSG00000153292.14,ADGRF1,180.0,7.093134321449626,7.40204986479551,2.5898938354571985,12.09638910052925
ENSG00000087253.10,LPCAT2,180.0,6.9766942669568355,6.922887438311636,3.2399494916187295,10.582010066362473
ENSG00000106789.11,CORO2A,180.0,6.961807054339449,6.140435760109804,2.664129690759495,9.717484052437285
ENSG00000115919.13,KYNU,180.0,6.792507486288238,6.868857772414937,1.2782104564157943,12.21914450773796
ENSG00000198951.10,NAGA,180.0,6.695048460397346,7.272740909660428,3.2244570266356316,11.392736100277407
ENSG00000123095.5,BHLHE41,180.0,6.5722212573109475,6.06806480996672,2.2651500060869423,9.456100786450733
ENSG00000158062.19,UBXN11,180.0,6.435686407326605,6.692553583981272,3.5499273166411323,9.943767224916469
ENSG00000163814.6,CDCP1,180.0,6.435068989286833,6.3936020888269995,2.1799525482461592,10.832502517560656
ENSG00000010671.14,BTK,180.0,6.363191621646441,6.662575268304269,3.2297521311145916,9.962392607011507
ENSG00000118785.12,SPP1,180.0,6.267344743653858,6.806486563694404,-1.0039539320270099,15.04974841389341
ENSG00000125912.9,NCLN,180.0,6.108160129550553,5.700470308084126,1.7877162764634325,9.595571947508233
ENSG00000169692.11,AGPAT2,180.0,6.0964524952651535,5.491642778400977,2.2222264216845544,8.856881387223556
ENSG00000168961.15,LGALS9,180.0,6.073272104067134,5.985924349346923,1.718409979882318,10.49682070735598
ENSG00000023330.13,ALAS1,180.0,5.863687452147711,6.446274269447253,-0.16233102297306629,13.039438657401044
ENSG00000103855.16,CD276,180.0,5.859761529514751,5.027076492743786,1.052876412936765,9.286189465853932
ENSG00000171812.9,COL8A2,180.0,5.74875062544265,5.697457155802231,2.861178783564496,8.865014711085752
ENSG00000186074.17,CD300LF,180.0,5.623729181019377,5.662066649335247,2.5838728432218434,9.015329313540391
ENSG00000136810.11,TXN,180.0,5.594897811731959,5.906071624168167,0.6723510126140163,10.860065814972144
ENSG00000162736.14,NCSTN,180.0,5.563180397523918,5.219030499687305,1.8798734686353789,8.568082042464146
ENSG00000173221.12,GLRX,180.0,5.32303524336809,5.564025775618164,2.360193592325559,8.829535254496033
