UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2019,28,4818725,2451756,2366969,1780993,1696805,385755,382644,36876,33810,169446,174085,7732,6987,70954,72638,1842722,1760133,415676,415252,59036,55756,197477,202200,14828,13993,1936065,1891453,1330666,1282989,358971,356799,20981,19992,164121,168685,5632,5182,55694,57806,1378936,1333288,382146,382628,36318,35445,188059,192600,11200,10756,515691,475516,450327,413816,26784,25845,15895,13818,5325,5400,2100,1805,15260,14832,463786,426845,33530,32624,22718,20311,9418,9600,3628,3237
R,7,2019,29,4806144,2439805,2366339,1780308,1699293,377035,379529,36221,33029,172250,178727,7888,7113,66103,68648,1837981,1759252,404140,409646,56820,54215,198879,205262,14529,13704,1928584,1899847,1333276,1293406,350704,353593,20296,19615,166908,173547,5655,5302,51745,54384,1378228,1340765,371510,377147,34508,34434,189681,196266,10882,10543,511221,466492,447032,405887,26331,25936,15925,13414,5342,5180,2233,1811,14358,14264,459753,418487,32630,32499,22312,19781,9198,8996,3647,3161
R,7,2019,30,4614384,2340865,2273519,1715675,1633895,351044,357862,34589,31076,170930,180198,7581,6762,61046,63726,1768885,1689376,375644,385295,54055,50656,195429,205430,13699,12999,1853680,1832351,1289627,1249730,326082,333266,19083,18382,165943,175110,5560,5092,47385,50771,1330779,1293769,344545,354815,32322,32228,186919,196827,10439,10068,487185,441168,426048,384165,24962,24596,15506,12694,4987,5088,2021,1670,13661,12955,438106,395607,31099,30480,21733,18428,8510,8603,3260,2931
R,7,2019,31,4502311,2281327,2220984,1687897,1610388,328258,336925,33834,30391,166176,176172,7496,6735,57666,60373,1737950,1662998,350838,362674,52153,49110,189881,200125,13553,12713,1796363,1785738,1262478,1230952,304427,313014,18310,17688,161375,171385,5406,5077,44367,47622,1300807,1272381,321134,332819,30533,30750,181660,191926,10165,9874,484964,435246,425419,379436,23831,23911,15524,12703,4801,4787,2090,1658,13299,12751,437143,390617,29704,29855,21620,18360,8221,8199,3388,2839
R,7,2019,32,4421505,2239886,2181619,1669232,1589290,313537,324839,32668,29367,163013,173238,7385,6654,54051,58231,1716185,1640050,334664,349402,50276,47968,185080,196232,12952,12324,1762971,1751681,1249802,1214018,290639,301576,17573,17041,158246,168600,5279,4922,41432,45524,1285556,1253562,306131,320259,29363,29894,177149,188332,9739,9426,476915,429938,419430,375272,22898,23263,15095,12326,4767,4638,2106,1732,12619,12707,430629,386488,28533,29143,20913,18074,7931,7900,3213,2898
R,7,2019,33,4432973,2243280,2189693,1681263,1603387,306040,320418,32448,29397,163475,174074,7499,6741,52555,55676,1726842,1651613,326014,343461,49822,47610,184967,196107,13149,12368,1761901,1758506,1257615,1226329,283046,297279,16933,16794,158760,169553,5335,5096,40212,43455,1292307,1263791,297578,314756,28562,29538,177114,188351,9827,9611,481379,431187,423648,377058,22994,23139,15515,12603,4715,4521,2164,1645,12343,12221,434535,387822,28436,28705,21260,18072,7853,7756,3322,2757
R,7,2019,34,4460132,2249252,2210880,1692253,1622220,303038,319959,31820,29430,163993,177531,7401,6704,50747,55036,1736233,1669972,321948,342031,48985,47733,184763,199633,12934,12334,1766160,1775769,1266431,1241461,280487,296765,16489,16753,159332,173037,5211,5071,38210,42682,1299285,1278317,293919,313117,27783,29491,176985,191996,9575,9568,483092,435111,425822,380759,22551,23194,15331,12677,4661,4494,2190,1633,12537,12354,436948,391655,28029,28914,21202,18242,7778,7637,3359,2766
R,7,2019,35,4315866,2167622,2148244,1632509,1576492,286841,307910,31014,28697,161825,175679,7089,6503,48344,52963,1674318,1622357,304677,328560,47613,46687,181751,197244,12344,12073,1702330,1721979,1222121,1202971,265397,285733,16058,16200,157228,171379,5053,4840,36473,40856,1253454,1238173,278062,300894,27050,28675,174163,189746,9193,9281,465292,426265,410388,373521,21444,22177,14956,12497,4597,4300,2036,1663,11871,12107,420864,384184,26615,27666,20563,18012,7588,7498,3151,2792
R,7,2019,36,4372444,2191368,2181076,1655730,1603541,288508,312392,31433,29196,159830,176157,7175,6707,48692,53083,1697868,1649334,306322,333006,48242,47604,179771,197569,12511,12324,1720397,1746603,1239809,1223335,267128,289267,16131,16403,155300,171719,5146,5019,36883,40860,1271469,1258385,279751,304368,27436,29134,172248,189988,9378,9488,470971,434473,415921,380206,21380,23125,15302,12793,4530,4438,2029,1688,11809,12223,426399,390949,26571,28638,20806,18470,7523,7581,3133,2836
R,7,2019,37,4361286,2181162,2180124,1651994,1605232,286315,312867,30833,28443,157559,175263,7209,6611,47252,51708,1692846,1649753,303492,333174,47625,46656,176627,195805,12455,12094,1712055,1743388,1237816,1222020,264872,290138,15866,15704,152984,170711,5151,4879,35366,39936,1268127,1256214,276929,305110,27004,28430,169010,188208,9289,9266,469107,436736,414178,383212,21443,22729,14967,12739,4575,4552,2058,1732,11886,11772,424719,393539,26563,28064,20621,18226,7617,7597,3166,2828
